IAA,IEG,IPS,IDA,IPP,IPV,IAN,INDE,Defasagem
0.0,8.5,7.52,7.8,7.5,10.01,5.0,7.254,-1
10.0,9.1,3.14,7.7,6.875,9.585,5.0,7.7687,-1
9.5,8.2,3.14,8.0,5.0,8.84,5.0,7.2722,-2
9.5,8.4,3.14,4.6,6.875,6.16,5.0,6.2737,-2
9.5,9.8,3.77,8.6,7.5,10.01,10.0,8.7592,0
7.9,8.5,3.77,5.2,5.0,8.67,5.0,6.6328,-1
9.5,9.4,3.77,6.0,5.625,7.265,10.0,7.4127,0
9.5,7.9,3.77,5.1,6.25,7.18,5.0,6.4782,-2
10.0,9.2,3.77,8.6,7.5,10.01,5.0,8.1892,-1
7.5,8.7,3.77,7.1,5.625,8.595,10.0,7.5687,0
9.5,9.3,3.77,7.9,7.5,9.84,5.0,7.9752,-2
9.0,9.4,3.77,8.3,7.5,9.84,5.0,8.0352,-1
9.5,7.7,3.14,3.4,4.375,6.32,5.0,5.6857,-2
0.0,8.3,3.77,5.9,6.875,8.92,10.0,6.6785,0
0.0,8.8,3.14,8.2,6.25,8.585,10.0,7.056,0
8.5,9.4,3.77,7.0,6.25,8.92,10.0,7.9162,0
0.0,8.9,3.14,8.3,6.25,9.505,5.0,6.78,-1
9.0,9.1,7.52,7.8,7.5,9.17,5.0,8.1162,-1
9.0,9.7,7.52,7.0,6.25,8.92,5.0,7.9012,-1
9.0,8.5,7.52,4.0,7.5,8.75,10.0,7.6522,0
8.0,8.5,7.52,8.7,6.875,7.835,10.0,8.2467,0
9.0,9.6,7.52,7.9,6.875,7.42,10.0,8.3137,0
9.5,7.9,7.52,8.8,7.5,8.165,10.0,8.4252,0
9.0,9.3,7.52,8.7,7.5,8.0,10.0,8.5922,0
0.0,8.3,6.89,8.8,7.5,8.165,5.0,6.982,-2
9.0,7.4,7.52,8.3,7.5,7.68,10.0,8.0782,0
9.0,8.6,7.52,8.4,5.9375,7.5,10.0,8.13595,0
8.0,9.1,3.77,8.6,6.5625,7.01,5.0,7.26545,-1
0.0,9.0,3.77,8.8,7.5,7.84,10.0,7.245,0
9.5,10.0,3.77,9.4,7.8125,8.59,10.0,8.70645,0
9.5,8.6,3.77,5.2,7.1875,7.675,10.0,7.33095,0
10.0,9.9,3.77,6.6,7.1875,7.845,10.0,7.96495,0
9.0,9.6,4.39,8.3,5.625,5.76,10.0,7.6237,0
9.0,9.7,3.77,8.2,7.5,8.255,10.0,8.2582,0
10.0,9.3,6.27,6.3,7.34375,7.786666667,5.0,7.538908333,-1
8.5,8.0,7.52,6.9,7.34375,7.446666667,5.0,7.305908333,-1
8.0,9.0,7.52,6.9,7.5,8.226666667,5.0,7.617533333,-1
10.0,9.5,7.52,6.7,7.34375,7.73,5.0,7.762575,-1
0.0,8.0,5.02,7.7,7.5,8.116666667,5.0,6.505333333,-1
8.5,9.3,7.52,8.6,7.5,8.06,5.0,8.0442,-1
0.0,8.5,5.02,6.3,7.5,8.06,10.0,6.824,0
0.0,9.4,5.02,6.7,7.5,8.503333333,10.0,7.172666667,0
7.5,9.1,5.02,4.3,6.875,7.836666667,10.0,7.177033333,1
7.9,7.5,2.52,5.5,5.0,5.896666667,5.0,5.823133333,-1
10.0,9.1,2.52,6.1,7.1875,8.056666667,10.0,7.612283333,0
8.0,9.2,3.77,3.3,7.1875,7.893333333,10.0,6.964616667,0
8.5,8.5,3.77,4.7,7.1875,7.893333333,10.0,7.164616667,0
10.0,10.0,6.27,9.1,8.75,9.06,10.0,9.1342,0
8.5,8.3,3.77,6.0,5.78125,6.173333333,5.0,6.389991667,-1
10.0,9.7,7.52,7.9,7.96875,8.336666667,5.0,8.226408333,-1
